Gene	ratio
WBGene00044140|F42F12.11	56153
WBGene00045512|Y60A3A.27	35770
WBGene00010333|F59E10.3	7109
WBGene00044394|B0034.7	6585
WBGene00015380|C03B1.10	5823
WBGene00017181|F02E11.3	5363
WBGene00019873|R05C11.1	4626
WBGene00002017|T27E4.2|hsp-16.11	4083
WBGene00019368|K03H6.2	4073
WBGene00008564|F08A8.1|acox-1	3629
WBGene00011873|T20G5.12	3596
WBGene00012193|W02A11.2|vps-25	3578
WBGene00044772|T23E7.6	3543
WBGene00002015|T27E4.8|hsp-16.1	3452
WBGene00044147|M163.11	3161
WBGene00001962|F57C12.3|hlh-19	3132
WBGene00019303|K02D10.3	3026
WBGene00013060|Y51A2A.4	2996
WBGene00016903|C53D5.2	2944.17
WBGene00015361|C02H6.1	2914
WBGene00016423|C34H3.1|tag-275	2733
WBGene00007994|C37E2.2	2489
WBGene00015152|B0348.2	2484
WBGene00014848|VM106R.1	2426
WBGene00000859|C37H5.10|cwp-1	2318
WBGene00016162|C27D6.4	2255.25
WBGene00013888|ZC412.7|nspa-3	2255
WBGene00013556|Y75B8A.23	2244
WBGene00044272|H12D21.13|nspa-4	1973
WBGene00009818|F47B10.7|acbp-3	1912
WBGene00019551|K09C4.6	1879
WBGene00001331|F09B9.3|erd-2	1847.75
WBGene00017591|F19C7.1	1809.67
WBGene00010377|H12D21.1|nspa-1	1734
WBGene00018019|F33H12.1	1672
WBGene00010897|M28.6|lact-3	1657
WBGene00015096|B0261.8	1642
WBGene00020125|R173.3	1633
WBGene00015374|C03B1.3	1607
WBGene00022816|ZK783.1|fbn-1	1576
WBGene00010288|F58H1.5	1574
WBGene00001636|Y75B8A.9|gly-11	1534
WBGene00003700|Y46H3D.5|nhr-110	1488
WBGene00021697|Y48G9A.3|gcn-1	1452
WBGene00044271|H12D21.12|nspa-2	1387
WBGene00019945|R08C7.1	1386
WBGene00003657|C08F8.8|nhr-67	1287
WBGene00016985|C56G3.2	1266
WBGene00014156|ZK930.6	1252.15
WBGene00001753|R03D7.6|gst-5	1236
WBGene00008532|F02E9.9	1209
WBGene00001196|M01D7.7|egl-30	1185
WBGene00004921|F31E8.2|snt-1	1173
WBGene00012294|W06A7.5|nspa-8	1172
WBGene00010716|K09C8.4|lge-1	1162
WBGene00020615|T20D4.9	1154
WBGene00007407|C07B5.2	1137
WBGene00017193|F07C3.2	1136.44
WBGene00019570|K09E2.1	1088
WBGene00021839|Y54E10BL.5|nduf-5	1087
WBGene00009279|F31B9.2	1072
WBGene00001735|K02D7.6|grl-26	1038
WBGene00013239|Y56A3A.22	1007
WBGene00019279|K01A2.4	994
WBGene00014234|ZK1128.8|vps-29	991
WBGene00004024|Y75B8A.1|php-3	978
WBGene00014033|ZK643.1|arrd-15	976
WBGene00018690|F52D2.8|fbxa-46	975
WBGene00003114|C32C4.5|mab-23	939
WBGene00008037|C40C9.4	924
WBGene00044139|F42D1.4	918
WBGene00010057|F54D5.15	906
WBGene00011902|T21E8.4	903.15
WBGene00001123|C43C3.3|dyf-7	878
WBGene00018848|F55A3.2	878
WBGene00015124|B0303.2	872
WBGene00013870|ZC373.5	870
WBGene00012162|VZC374L.1	833.4
WBGene00002110|ZC334.11|ins-27	830
WBGene00015782|C14F11.7	802.29
WBGene00021813|Y53G8AR.6	800
WBGene00004389|Y47G6A.20|rnp-6	780.86
WBGene00018675|F52C9.5	753
WBGene00014104|ZK849.6	739
WBGene00021662|Y48G1BL.1	739
WBGene00012658|Y39A1A.21	737
WBGene00003661|K11E4.5|nhr-71	729.47
WBGene00001953|C02B8.4|hlh-8	724.24
WBGene00006055|C14A11.7|ssr-2	705
WBGene00015510|C06A6.5	703
WBGene00006761|F57H12.2|unc-24	698
WBGene00044273|H12D21.14|nspa-6	694
WBGene00044274|H12D21.15|nspa-7	694
WBGene00044411|R12B2.8	689
WBGene00013105|Y51H4A.10|fip-7	679
WBGene00009468|F36D1.9	678
WBGene00044654|Y61B8A.4|fbxa-85	677.5
WBGene00017381|F11D5.3|ddr-2	669
WBGene00020051|R13A5.9	665.29
WBGene00001309|M01D7.6|emr-1	663
WBGene00016465|C36B7.2	653
WBGene00021736|Y50D4A.2	651
WBGene00003235|C52E4.2|mif-2	648
WBGene00002016|Y46H3A.3|hsp-16.2	647
WBGene00022616|ZC449.6|hsd-3	646
WBGene00021467|Y39G10AR.9	644
WBGene00013092|Y51H1A.1	641
WBGene00009219|F28D1.11|dpm-3	629
WBGene00002177|F35C8.3|jkk-1	613.75
WBGene00020301|T07D1.2	600
WBGene00009248|F29C12.6	596.65
WBGene00008978|F20D1.8|cutl-3	586
WBGene00013396|Y62H9A.8	571
WBGene00020873|T28A11.6	550.13
WBGene00045178|Y51H4A.32|fipr-27	526
WBGene00019321|K02E10.7	496
WBGene00006562|K01C8.3|tdc-1	488
WBGene00044449|H14A12.6|fipr-20	488
WBGene00044725|R11G1.7	480.05
WBGene00044413|B0205.12	474
